contig_id,start_position,coverage
contig_844,1,0.00
contig_845,1,0.00
contig_846,1,0.00
contig_847,1,0.00
contig_848,1,0.00
contig_849,1,0.00
contig_850,1,0.00
contig_851,1,0.00
contig_852,1,0.00
contig_853,1,0.00
contig_854,1,0.00
contig_855,1,0.00
contig_856,1,0.00
contig_857,1,0.00
contig_858,1,0.00
contig_859,1,0.00
contig_860,1,0.00
contig_861,1,0.00
contig_862,1,0.00
contig_863,1,0.00
contig_864,1,0.00
contig_865,1,0.00
contig_866,1,0.00
contig_867,1,0.00
contig_868,1,0.00
contig_869,1,0.00
contig_870,1,0.00
contig_871,1,0.00
contig_872,1,0.00
contig_873,1,0.00
contig_874,1,0.00
contig_875,1,0.00
contig_876,1,0.00
contig_877,1,0.00
contig_878,1,0.00
contig_879,1,0.00
contig_880,1,0.00
contig_881,1,0.00
contig_882,1,0.00
contig_883,1,0.00
contig_884,1,0.00
contig_885,1,0.00
contig_886,1,0.00
contig_887,1,0.00
contig_888,1,0.00
contig_889,1,0.00
contig_890,1,0.00
contig_891,1,0.00
contig_892,1,0.00
contig_893,1,0.00
contig_894,1,0.00
contig_895,1,0.00
contig_896,1,0.00
contig_897,1,0.00
contig_898,1,0.00
contig_899,1,0.00
contig_900,1,0.00
contig_901,1,0.00
contig_902,1,0.00
contig_903,1,0.00
contig_904,1,0.00
contig_905,1,0.00
contig_906,1,0.00
contig_907,1,0.00
contig_908,1,0.00
contig_909,1,0.00
contig_910,1,0.00
contig_911,1,0.00
contig_912,1,0.00
contig_913,1,0.00
contig_914,1,0.00
contig_915,1,0.00
contig_916,1,0.00
contig_917,1,0.00
contig_918,1,0.00
contig_919,1,0.00
contig_920,1,0.00
contig_921,1,0.00
contig_922,1,0.00
contig_923,1,0.00
contig_924,1,0.00
contig_925,1,0.00
contig_926,1,0.00
contig_927,1,0.00
contig_928,1,0.00
contig_929,1,0.00
contig_930,1,0.00
contig_931,1,0.00
contig_932,1,0.00
contig_933,1,0.00
contig_934,1,0.00
contig_935,1,0.00
contig_936,1,0.00
contig_937,1,0.00
contig_938,1,0.00
contig_939,1,0.00
contig_940,1,0.00
contig_941,1,0.00
contig_942,1,0.00
contig_943,1,0.00
contig_944,1,0.00
contig_945,1,0.00
contig_946,1,0.00
contig_947,1,0.00
contig_948,1,0.00
contig_949,1,0.00
contig_950,1,0.00
contig_951,1,0.00
contig_952,1,0.00
contig_953,1,0.00
contig_954,1,0.00
contig_955,1,0.00
contig_956,1,0.00
contig_957,1,0.00
contig_958,1,0.00
contig_959,1,0.00
contig_960,1,0.00
contig_961,1,0.00
contig_962,1,0.00
contig_963,1,0.00
contig_964,1,0.00
contig_965,1,0.00
contig_966,1,0.00
contig_967,1,0.00
contig_968,1,0.00
contig_969,1,0.00
contig_970,1,0.00
contig_971,1,0.00
contig_972,1,0.00
contig_973,1,0.00
contig_974,1,0.00
contig_975,1,0.00
contig_976,1,0.00
contig_977,1,0.00
contig_978,1,0.00
contig_979,1,0.00
contig_980,1,0.00
contig_981,1,0.00
contig_982,1,0.00
contig_983,1,0.00
contig_984,1,0.00
contig_985,1,0.00
